Candidate_Id,Email_Id,Phone_Number,Source,Created_at,Updated_at,Experience,Previous_Company
11,iron.krishnan@gmail.com,7358483657,linkedin,2019-06-20,2019-06-20,2.3,TechMahindra
12,sk@gmail.com,7358483656,shine,2019-08-01,2019-08-01,3,TCS
13,pk@gmail.com,7358483654,shine,2019-06-15,2019-06-15,4,CTS
14,rk@gmail.com,7358483653,monster,2019-06-20,2019-06-20,5,Wipro
15,mk@gmail.com,7358483627,shine,2019-06-07,2019-06-07,2,TCS
16,iron@gmail.com,7358483567,Referral,2019-06-23,2019-06-23,2.3,TechMahindra
17,skr@gmail.com,9444002456,Referral,2019-08-06,2019-08-06,3,TCS
18,pkm@gmail.com,9717871978,Referral,2019-06-25,2019-06-25,4,CTS
19,rkg@gmail.com,7358483698,Referral,2019-06-24,2019-06-24,5,Wipro
20,mkr@gmail.com,7358483789,Referral,2019-06-06,2019-06-06,2,TCS
